City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
306,Korla,CN,41.7597,86.1469,86.32,27,1,19.77,clear sky
307,Karratha,AU,-20.7377,116.8463,71.15,67,67,7.58,light rain
308,Luganville,VU,-15.5333,167.1667,77.58,86,57,8.63,broken clouds
309,Sola,VU,-13.8833,167.55,75.87,100,90,0.0,overcast clouds
310,Calvia,ES,39.5657,2.5062,77.47,69,55,5.3,broken clouds
311,Nikel,RU,69.4128,30.222,55.58,58,26,7.47,scattered clouds
312,Nelson,NZ,-41.2833,173.2833,53.29,97,96,7.18,overcast clouds
313,La Ronge,CA,55.1001,-105.2842,62.82,82,40,3.44,scattered clouds
314,Hami,CN,42.8,93.45,90.3,17,43,8.95,scattered clouds
315,Kyren,RU,51.6828,102.1408,62.49,82,33,2.73,scattered clouds
316,Lompoc,US,34.6391,-120.4579,64.11,87,78,0.0,broken clouds
317,Nacozari,MX,25.3366,-108.2574,89.11,52,99,1.28,overcast clouds
318,Meulaboh,ID,4.1363,96.1285,79.9,81,82,4.63,broken clouds
319,Taybad,IR,34.74,60.7756,96.39,12,0,31.5,clear sky
320,Guimar,ES,28.3039,-16.4325,73.56,73,20,16.11,few clouds
321,Tasiilaq,GL,65.6145,-37.6368,50.16,82,7,4.25,clear sky
322,Gold Coast,AU,-28.0,153.4333,53.01,82,76,0.0,broken clouds
323,Gravatai,BR,-29.9444,-50.9919,83.23,94,90,6.91,thunderstorm with light rain
324,Nisia Floresta,BR,-6.0911,-35.2086,84.58,53,20,16.26,few clouds
325,Morondava,MG,-20.2833,44.2833,73.87,64,14,10.78,few clouds
326,Chuy,UY,-33.6971,-53.4616,54.61,78,100,10.25,moderate rain
327,Vila Velha,BR,-20.3297,-40.2925,78.75,61,40,10.36,scattered clouds
328,El Monte,US,34.0686,-118.0276,78.93,88,40,0.0,scattered clouds
329,Tacoronte,ES,28.4769,-16.4102,72.99,76,40,20.0,fog
330,Stornoway,GB,58.2093,-6.3865,62.56,82,40,8.05,fog
331,Skoghall,SE,59.3232,13.4655,63.16,100,100,11.5,overcast clouds
332,Omboue,GA,-1.5746,9.2618,77.58,70,99,10.87,overcast clouds
333,Berlevag,NO,70.8578,29.0864,48.0,83,72,8.63,broken clouds
